,precision,recall,f1-score,support
correct,0.7729083665338645,0.8326180257510729,0.8016528925619835,233.0
contradictory,0.6060606060606061,0.6896551724137931,0.6451612903225806,58.0
partially_correct_incomplete,0.38405797101449274,0.4690265486725664,0.42231075697211157,113.0
irrelevant,0.7857142857142857,0.49624060150375937,0.6082949308755761,133.0
non_domain,0.0,0.0,0.0,3.0
accuracy,0.6537037037037037,0.6537037037037037,0.6537037037037037,0.6537037037037037
macro avg,0.5097482458646498,0.4975080696682384,0.4954839741464504,540.0
weighted avg,0.6724772505158209,0.6537037037037037,0.6533867039813928,540.0
