,precision,recall,f1-score,support
correct,0.8495145631067961,0.7510729613733905,0.7972665148063781,233.0
contradictory,0.6557377049180327,0.6896551724137931,0.6722689075630253,58.0
partially_correct_incomplete,0.3418803418803419,0.7079646017699115,0.4610951008645533,113.0
irrelevant,0.8064516129032258,0.18796992481203006,0.3048780487804878,133.0
non_domain,0.25,0.6666666666666666,0.36363636363636365,3.0
accuracy,0.5962962962962963,0.5962962962962963,0.5962962962962963,0.5962962962962963
macro avg,0.5807168445616793,0.6006658654071583,0.5198289871301617,540.0
weighted avg,0.7085374504402537,0.5962962962962963,0.5898113528980556,540.0
