run,label_id,label_name,count,precision,recall,f1_score,support,per_label_accuracy
gpt52_fifteen_shot,0,correct,233,0.845,0.7253218884120172,0.7806004618937644,233.0,0.7253218884120172
gpt52_fifteen_shot,1,contradictory,58,0.6231884057971014,0.7413793103448276,0.6771653543307087,58.0,0.7413793103448276
gpt52_fifteen_shot,2,partially_correct_incomplete,113,0.35267857142857145,0.6991150442477876,0.4688427299703264,113.0,0.6991150442477876
gpt52_fifteen_shot,3,irrelevant,133,0.875,0.21052631578947367,0.3393939393939394,133.0,0.21052631578947367
gpt52_fifteen_shot,4,non_domain,3,0.13333333333333333,0.6666666666666666,0.2222222222222222,3.0,0.6666666666666666
