,precision,recall,f1-score,support
correct,0.8743169398907104,0.6866952789699571,0.7692307692307693,233.0
contradictory,0.6666666666666666,0.7241379310344828,0.6942148760330579,58.0
partially_correct_incomplete,0.3488372093023256,0.7964601769911505,0.48517520215633425,113.0
irrelevant,0.8333333333333334,0.22556390977443608,0.35502958579881655,133.0
non_domain,0.0,0.0,0.0,3.0
accuracy,0.5962962962962963,0.5962962962962963,0.5962962962962963,0.5962962962962963
macro avg,0.5446308298386071,0.48657145935400525,0.46073008664379556,540.0
weighted avg,0.7271008363809227,0.5962962962962963,0.59544252739925,540.0
