run,label_id,label_name,count,precision,recall,f1_score,support,per_label_accuracy
gpt4o_fifteen_shot,0,correct,233,0.749034749034749,0.8326180257510729,0.7886178861788617,233.0,0.8326180257510729
gpt4o_fifteen_shot,1,contradictory,58,0.5797101449275363,0.6896551724137931,0.6299212598425197,58.0,0.6896551724137931
gpt4o_fifteen_shot,2,partially_correct_incomplete,113,0.3793103448275862,0.3893805309734513,0.38427947598253276,113.0,0.3893805309734513
gpt4o_fifteen_shot,3,irrelevant,133,0.7553191489361702,0.5338345864661654,0.6255506607929515,133.0,0.5338345864661654
gpt4o_fifteen_shot,4,non_domain,3,0.0,0.0,0.0,3.0,0.0
