run,file,total_rows_in_file,evaluated_rows,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,hardest_label_by_f1,hardest_label_f1,easiest_label_by_f1,easiest_label_f1
gpt52_five_shot,scientsbank_batch_run/scientsbank_test_ua_gpt-5.2_with_llm_labels_five_shot.csv,540,540,0.5962962962962963,0.5807168445616793,0.6006658654071583,0.5198289871301617,0.7085374504402537,0.5962962962962963,0.5898113528980556,irrelevant,0.3048780487804878,correct,0.7972665148063781
gpt52_fifteen_shot,scientsbank_batch_run/scientsbank_test_ua_gpt-5.2_with_llm_labels_fifteen_shot.csv,540,540,0.5944444444444444,0.5658400621118012,0.6086018450921545,0.49764494156219224,0.7215881594586304,0.5944444444444444,0.5924829393798808,non_domain,0.2222222222222222,correct,0.7806004618937644
gpt4o_five_shot,scientsbank_batch_run/scientsbank_test_ua_gpt-4o_with_llm_labels_five_shot.csv,540,540,0.6537037037037037,0.5097482458646498,0.4975080696682384,0.4954839741464504,0.6724772505158209,0.6537037037037037,0.6533867039813928,non_domain,0.0,correct,0.8016528925619835
gpt4o_fifteen_shot,scientsbank_batch_run/scientsbank_test_ua_gpt-4o_with_llm_labels_fifteen_shot.csv,540,540,0.6462962962962963,0.4926748775452083,0.48909766312089653,0.4856738565593732,0.6508662976017064,0.6462962962962963,0.6424170726333883,non_domain,0.0,correct,0.7886178861788617
gpt52_zero_shot,scientsbank_batch_run/scientsbank_test_ua_gpt-5.2_with_llm_labels_zero_shot.csv,540,540,0.5962962962962963,0.5446308298386071,0.48657145935400525,0.46073008664379556,0.7271008363809227,0.5962962962962963,0.59544252739925,non_domain,0.0,correct,0.7692307692307693
gpt4o_zero_shot,scientsbank_batch_run/scientsbank_test_ua_gpt-4o_with_llm_labels_zero_shot.csv,540,540,0.5537037037037037,0.4903599143068963,0.46851717186740727,0.4374289575183097,0.6817963558773356,0.5537037037037037,0.5688199647207948,non_domain,0.0,correct,0.6886075949367089
