,precision,recall,f1-score,support
correct,0.845,0.7253218884120172,0.7806004618937644,233.0
contradictory,0.6231884057971014,0.7413793103448276,0.6771653543307087,58.0
partially_correct_incomplete,0.35267857142857145,0.6991150442477876,0.4688427299703264,113.0
irrelevant,0.875,0.21052631578947367,0.3393939393939394,133.0
non_domain,0.13333333333333333,0.6666666666666666,0.2222222222222222,3.0
accuracy,0.5944444444444444,0.5944444444444444,0.5944444444444444,0.5944444444444444
macro avg,0.5658400621118012,0.6086018450921545,0.49764494156219224,540.0
weighted avg,0.7215881594586304,0.5944444444444444,0.5924829393798808,540.0
