,precision,recall,f1-score,support
correct,0.749034749034749,0.8326180257510729,0.7886178861788617,233.0
contradictory,0.5797101449275363,0.6896551724137931,0.6299212598425197,58.0
partially_correct_incomplete,0.3793103448275862,0.3893805309734513,0.38427947598253276,113.0
irrelevant,0.7553191489361702,0.5338345864661654,0.6255506607929515,133.0
non_domain,0.0,0.0,0.0,3.0
accuracy,0.6462962962962963,0.6462962962962963,0.6462962962962963,0.6462962962962963
macro avg,0.4926748775452083,0.48909766312089653,0.4856738565593732,540.0
weighted avg,0.6508662976017064,0.6462962962962963,0.6424170726333883,540.0
