,precision,recall,f1-score,support
correct,0.8395061728395061,0.5836909871244635,0.6886075949367089,233.0
contradictory,0.47368421052631576,0.7758620689655172,0.5882352941176471,58.0
partially_correct_incomplete,0.31718061674008813,0.6371681415929203,0.4235294117647059,113.0
irrelevant,0.8214285714285714,0.3458646616541353,0.48677248677248675,133.0
non_domain,0.0,0.0,0.0,3.0
accuracy,0.5537037037037037,0.5537037037037037,0.5537037037037037,0.5537037037037037
macro avg,0.4903599143068963,0.46851717186740727,0.4374289575183097,540.0
weighted avg,0.6817963558773356,0.5537037037037037,0.5688199647207948,540.0
